Gene	ModelName	Beta	FDR
AADAT	OMM1	-0.051219	0.96846
AADAT	OMM23	0.11002	0.73305
AADAT	OMM25	-0.022441	0.99568
PRXL2C	921	0.15302	0.89437
PRXL2C	Mel202	0.13681	0.68737
PRXL2C	Mel270	0.25926	0.21707
PRXL2C	Mel285	0.13125	0.82575
PRXL2C	MP38	0.14954	0.52557
PRXL2C	MP41	-0.086618	0.88359
PRXL2C	MP46	0.093767	0.81076
PRXL2C	OMM1	0.13984	0.63023
PRXL2C	OMM23	0.065614	0.87603
PRXL2C	OMM25	0.12677	0.70537
AAGAB	921	-0.053435	0.93319
AAGAB	Mel202	-0.1233	0.8875
AAGAB	Mel270	0.053092	0.88695
AAGAB	Mel285	0.23875	0.52381
AAGAB	MP38	0.028335	0.94436
AAGAB	MP41	0.053957	0.87197
AAGAB	MP46	0.076586	0.86381
AAGAB	OMM1	-0.076815	0.94201
AAGAB	OMM23	0.047224	0.92318
AAGAB	OMM25	-0.024532	0.99221
AAK1	921	0.19325	0.85011
AAK1	Mel202	0.14924	0.65124
AAK1	Mel270	-0.052917	0.95448
AAK1	Mel285	-0.038898	0.92402
AAK1	MP38	0.071575	0.84632
AAK1	MP41	-0.1074	0.8441
AAK1	MP46	0.098916	0.7917
AAK1	OMM1	-0.026528	0.99151
AAK1	OMM23	-0.048714	0.9715
AAK1	OMM25	0.073616	0.85654
AAMDC	921	0.10469	0.94971
AAMDC	Mel202	0.0099363	0.96249
AAMDC	Mel270	0.21719	0.37414
AAMDC	Mel285	-0.18545	0.64551
AAMDC	MP38	0.031145	0.9397
AAMDC	MP41	-0.11878	0.82224
AAMDC	MP46	0.04742	0.93464
AAMDC	OMM1	0.061219	0.89122
AAMDC	OMM23	-0.089873	0.91823
AAMDC	OMM25	-0.034596	0.98223
AAMP	921	-0.88921	0.060258
AAMP	Mel202	-1.5807	0
AAMP	Mel270	-1.2063	0.004386
AAMP	Mel285	-0.62669	0.013544
AAMP	MP38	-0.74021	0.010782
AAMP	MP41	-0.72967	0.028355000000000002
AAMP	MP46	-0.21431	0.40019
AAMP	OMM1	-1.135	0.0049505
AAMP	OMM23	-1.0849	0.012924
AAMP	OMM25	-1.1753	0
AANAT	921	0.033384	0.99944
AANAT	Mel202	-0.25865	0.6906
AANAT	Mel270	-0.06225	0.93977
AANAT	Mel285	0.0054293	0.98394
AANAT	MP38	0.037125	0.92944
AANAT	MP41	-0.052197	0.94397
AANAT	MP46	0.027096	0.96633
AANAT	OMM1	-0.045678	0.9716
AANAT	OMM23	0.11087	0.72801
AANAT	OMM25	0.012224	0.97009
AAR2	921	0.078093	0.96945
AAR2	Mel202	0.16381	0.59654
AAR2	Mel270	0.11047	0.75917
AAR2	Mel285	0.18953	0.6792
AAR2	MP38	0.123	0.6577
AAR2	MP41	0.1563	0.50423
AAR2	MP46	0.025835	0.96812
AAR2	OMM1	0.31855	0.043614
AAR2	OMM23	0.32867	0.019391
AAR2	OMM25	0.10423	0.77982
AARD	921	-0.11852	0.87238
AARD	Mel202	-0.54487	0.26186
AARD	Mel270	-0.1175	0.86469
AARD	Mel285	-0.16778	0.6857
AARD	MP38	-0.18013	0.68645
AARD	MP41	-0.23628	0.55747
AARD	MP46	-0.1116	0.7648
AARD	OMM1	0.015915	0.96728
AARD	OMM23	0.12026	0.69157
AARD	OMM25	-0.079798	0.93482
AARS1	921	-1.3478	0
AARS1	Mel202	-2.1903	0
AARS1	Mel270	-2.2279	0
AARS1	Mel285	-0.79013	0
AARS1	MP38	-1.3465	0
AARS1	MP41	-1.8146	0
AARS1	MP46	-0.61289	0
AARS1	OMM1	-2.1367	0
AARS1	OMM23	-1.702	0
AARS1	OMM25	-2.024	0
AARS2	921	-0.10045	0.89153
AARS2	Mel202	-0.73378	0.099168
AARS2	Mel270	0.02396	0.94135
AARS2	Mel285	0.244	0.50795
AARS2	MP38	-0.034196	0.96653
AARS2	MP41	-0.31036	0.42163
AARS2	MP46	0.073811	0.87521
AARS2	OMM1	-0.17325	0.80844
AARS2	OMM23	-0.16623	0.7962
AARS2	OMM25	-0.21825	0.72248
AARSD1	921	-0.19456	0.78525
AARSD1	Mel202	-0.09267	0.92983
AARSD1	Mel270	-0.31521	0.53668
AARSD1	Mel285	-0.13052	0.76608
AARSD1	MP38	-0.11541	0.82848
AARSD1	MP41	-0.10017	0.85775
AARSD1	MP46	-0.20725	0.41871
AARSD1	OMM1	-0.12784	0.87724
AARSD1	OMM23	-0.093564	0.91422
AARSD1	OMM25	0.072701	0.859
AASDH	921	0.042186	0.9966
AASDH	Mel202	0.049849	0.89795
AASDH	Mel270	-0.11651	0.86619
AASDH	Mel285	-0.02448	0.94248
AASDH	MP38	-0.10921	0.8381
AASDH	MP41	-0.079343	0.89768
AASDH	MP46	-0.10521	0.78625
AASDH	OMM1	-0.090312	0.92694
AASDH	OMM23	0.0043133	0.98493
AASDH	OMM25	-0.085111	0.92855
AASDHPPT	921	-0.12436	0.8675
AASDHPPT	Mel202	-0.051045	0.97893
AASDHPPT	Mel270	0.09478	0.80246
AASDHPPT	Mel285	-0.056835	0.90157
AASDHPPT	MP38	0.32311	0.018779
AASDHPPT	MP41	-0.17642	0.68865
AASDHPPT	MP46	0.17258	0.4276
AASDHPPT	OMM1	-0.11302	0.89486
AASDHPPT	OMM23	-0.26997	0.61531
AASDHPPT	OMM25	0.030441	0.94453
AASS	921	0.2013	0.83923
AASS	Mel202	-0.056055	0.9752
AASS	Mel270	-0.25513	0.64039
AASS	Mel285	0.22565	0.56253
AASS	MP38	-0.10454	0.84632
AASS	MP41	-0.10041	0.85701
AASS	MP46	-0.076908	0.85899
AASS	OMM1	-0.018587	0.99967
AASS	OMM23	-0.11618	0.87571
AASS	OMM25	-0.042037	0.97397
AATF	921	-0.45684	0.43249
AATF	Mel202	-0.71515	0.10976
AATF	Mel270	-0.82822	0.038636
AATF	Mel285	-0.39463	0.21916
AATF	MP38	-0.43334	0.15508
AATF	MP41	-0.35363	0.33104
AATF	MP46	-0.045145	0.92766
