Gene	ModelName	Beta	FDR
PRXL2B	OMM1	0.074109	0.8585
PRXL2B	OMM23	-0.029241	0.9842
PRXL2B	OMM25	0.064878	0.87719
ATOSA	921	0.21602	0.81694
ATOSA	Mel202	-0.010892	0.98734
ATOSA	Mel270	-2.9063e-4	0.98049
ATOSA	Mel285	0.1065	0.88352
ATOSA	MP38	-0.070567	0.91204
ATOSA	MP41	-0.028492	0.97777
ATOSA	MP46	-0.13024	0.70869
ATOSA	OMM1	-0.13299	0.86854
ATOSA	OMM23	-0.045292	0.97463
ATOSA	OMM25	-0.062655	0.95494
ATOSB	921	-0.055202	0.93069
ATOSB	Mel202	-0.079522	0.9473
ATOSB	Mel270	-0.036384	0.97708
ATOSB	Mel285	-0.15396	0.71881
ATOSB	MP38	-0.018935	0.98837
ATOSB	MP41	-0.021716	0.98961
ATOSB	MP46	0.012488	0.98627
ATOSB	OMM1	-0.06665	0.95339
ATOSB	OMM23	-0.14886	0.82619
ATOSB	OMM25	-0.035844	0.98148
FAM216A	921	0.33304	0.60736
FAM216A	Mel202	0.16815	0.58095
FAM216A	Mel270	0.16494	0.57031
FAM216A	Mel285	0.10606	0.88353
FAM216A	MP38	0.14284	0.55679
FAM216A	MP41	0.22003	0.22812
FAM216A	MP46	-0.0033977	0.98893
FAM216A	OMM1	0.046037	0.91987
FAM216A	OMM23	0.032488	0.95511
FAM216A	OMM25	0.14756	0.62974
FAM216B	921	0.17122	0.88045
FAM216B	Mel202	0.10685	0.76311
FAM216B	Mel270	0.061218	0.87211
FAM216B	Mel285	0.25153	0.47601
FAM216B	MP38	0.057687	0.8873
FAM216B	MP41	0.090661	0.75102
FAM216B	MP46	-0.18381	0.50676
FAM216B	OMM1	0.014218	0.96846
FAM216B	OMM23	-0.03152	0.98354
FAM216B	OMM25	0.055081	0.89697
FAM217A	921	0.11836	0.93402
FAM217A	Mel202	0.083568	0.82871
FAM217A	Mel270	0.10639	0.76908
FAM217A	Mel285	0.32442	0.2513
FAM217A	MP38	0.15619	0.48301
FAM217A	MP41	0.037112	0.91328
FAM217A	MP46	0.0074703	0.99426
FAM217A	OMM1	-0.0060164	0.9888
FAM217A	OMM23	0.022816	0.9689
FAM217A	OMM25	0.040631	0.92819
FAM217B	921	-0.057571	0.92782
FAM217B	Mel202	0.048178	0.90076
FAM217B	Mel270	0.22746	0.3359
FAM217B	Mel285	0.058511	0.95973
FAM217B	MP38	0.095135	0.77446
FAM217B	MP41	0.19834	0.32406
FAM217B	MP46	0.013829	0.98365
FAM217B	OMM1	0.035166	0.93743
FAM217B	OMM23	0.069077	0.86839
FAM217B	OMM25	0.11167	0.75659
FAM218A	921	0.19458	0.84726
FAM218A	Mel202	0.14978	0.64986
FAM218A	Mel270	0.1484	0.62565
FAM218A	Mel285	0.059727	0.95749
FAM218A	MP38	0.14419	0.55262
FAM218A	MP41	0.082941	0.7806
FAM218A	MP46	-0.053382	0.90916
FAM218A	OMM1	0.015638	0.96761
FAM218A	OMM23	0.069337	0.86823
FAM218A	OMM25	0.10157	0.78931
FAM219A	921	0.087718	0.96493
FAM219A	Mel202	0.13652	0.68768
FAM219A	Mel270	0.12375	0.71224
FAM219A	Mel285	0.089538	0.91468
FAM219A	MP38	0.12832	0.63318
FAM219A	MP41	0.058834	0.86003
FAM219A	MP46	0.022563	0.9721
FAM219A	OMM1	0.017764	0.96569
FAM219A	OMM23	0.013235	0.97829
FAM219A	OMM25	0.049679	0.91046
FAM219B	921	0.26244	0.73956
FAM219B	Mel202	0.29187	0.16385
FAM219B	Mel270	0.055925	0.88228
FAM219B	Mel285	0.10083	0.89687
FAM219B	MP38	0.16377	0.44392
FAM219B	MP41	0.15457	0.50802
FAM219B	MP46	0.10562	0.76523
FAM219B	OMM1	0.17221	0.473
FAM219B	OMM23	0.16133	0.49285
FAM219B	OMM25	0.10127	0.79054
WASHC2A	921	-0.028112	0.98
WASHC2A	Mel202	0.46733	0.38273
WASHC2A	Mel270	-0.017379	0.97349
WASHC2A	Mel285	0.35027	0.7226
WASHC2A	MP38	-0.017891	0.98192
WASHC2A	MP41	0.17388	0.82681
WASHC2A	MP46	0.14157	0.89137
WASHC2A	OMM1	-0.20509	0.84263
WASHC2A	OMM23	-0.20264	0.83116
WASHC2A	OMM25	-0.030664	0.96926
WASHC2C	921	0.13355	0.94392
WASHC2C	Mel202	0.019116	0.9779
WASHC2C	Mel270	0.10245	0.85014
WASHC2C	Mel285	0.10431	0.92051
WASHC2C	MP38	-0.083862	0.90868
WASHC2C	MP41	0.011322	0.97789
WASHC2C	MP46	0.050932	0.95025
WASHC2C	OMM1	-0.046146	0.96811
WASHC2C	OMM23	-0.12766	0.87026
WASHC2C	OMM25	-0.16519	0.83578
FAM220A	921	-0.41447	0.48549
FAM220A	Mel202	-0.12744	0.88118
FAM220A	Mel270	-0.17475	0.78146
FAM220A	Mel285	-0.26188	0.46856
FAM220A	MP38	-0.17116	0.70451
FAM220A	MP41	-0.15055	0.74385
FAM220A	MP46	-0.066877	0.88318
FAM220A	OMM1	0.0096577	0.97129
FAM220A	OMM23	-0.012441	0.99939
FAM220A	OMM25	-0.21036	0.7345
FAM221A	921	0.31123	0.64904
FAM221A	Mel202	0.001453	0.9751
FAM221A	Mel270	0.048138	0.897
FAM221A	Mel285	0.043029	0.97895
FAM221A	MP38	-0.04163	0.95176
FAM221A	MP41	0.033049	0.9237
FAM221A	MP46	0.053567	0.91748
FAM221A	OMM1	0.14096	0.62628
FAM221A	OMM23	0.021316	0.97045
FAM221A	OMM25	0.013574	0.96862
FAM221B	921	-0.11554	0.87595
FAM221B	Mel202	0.14261	0.67283
FAM221B	Mel270	0.006453	0.96888
FAM221B	Mel285	0.099671	0.89923
FAM221B	MP38	0.051514	0.90501
FAM221B	MP41	0.20474	0.29537
FAM221B	MP46	0.18352	0.36117
FAM221B	OMM1	0.063823	0.88802
FAM221B	OMM23	0.077735	0.84369
FAM221B	OMM25	0.097551	0.80227
FAM222A	921	0.19513	0.84647
FAM222A	Mel202	0.042327	0.90859
FAM222A	Mel270	-0.028585	0.9878
FAM222A	Mel285	-0.0073539	0.96911
FAM222A	MP38	0.059213	0.88362
FAM222A	MP41	0.18068	0.39669
FAM222A	MP46	0.15403	0.53569
FAM222A	OMM1	0.12115	0.70303
FAM222A	OMM23	0.095142	0.79116
FAM222A	OMM25	0.10517	0.77745
FAM222B	921	-0.15114	0.83847
FAM222B	Mel202	-0.16273	0.82951
FAM222B	Mel270	-0.44625	0.33153
FAM222B	Mel285	0.057127	0.96199
FAM222B	MP38	-0.18715	0.66751
FAM222B	MP41	-0.15369	0.73413
FAM222B	MP46	-0.16525	0.58795
FAM222B	OMM1	-0.22271	0.72387
FAM222B	OMM23	-0.032148	0.98331
FAM222B	OMM25	-0.21594	0.72532
FAM227B	921	-0.098565	0.89233
FAM227B	Mel202	0.25176	0.28203
FAM227B	Mel270	0.14016	0.65907
FAM227B	Mel285	0.056499	0.96213
FAM227B	MP38	0.079383	0.82715
FAM227B	MP41	0.070433	0.82918
FAM227B	MP46	0.078828	0.85726
FAM227B	OMM1	0.19082	0.3969
FAM227B	OMM23	0.048172	0.92161
FAM227B	OMM25	0.030982	0.944
FAM228A	921	-0.2649	0.69864
FAM228A	Mel202	-0.0043004	0.9807
FAM228A	Mel270	-0.072293	0.92452
FAM228A	Mel285	0.015722	0.99298
FAM228A	MP38	-0.075164	0.90715
FAM228A	MP41	-0.088453	0.88024
FAM228A	MP46	-0.10495	0.78625
FAM228A	OMM1	-0.072052	0.94549
FAM228A	OMM23	0.017236	0.97615
FAM228A	OMM25	0.0065873	0.97397
FAM229A	921	-0.26143	0.70358
FAM229A	Mel202	-0.025763	0.99922
FAM229A	Mel270	0.026296	0.93646
FAM229A	Mel285	-0.047453	0.91557
FAM229A	MP38	-0.019485	0.98684
FAM229A	MP41	0.012855	0.9579
FAM229A	MP46	-0.12449	0.72293
FAM229A	OMM1	0.1085	0.75447
FAM229A	OMM23	-0.026062	0.9864
FAM229A	OMM25	0.024574	0.95264
FAM229B	921	0.13234	0.92564
FAM229B	Mel202	0.16143	0.67341
FAM229B	Mel270	0.17028	0.61385
FAM229B	Mel285	0.16273	0.78722
FAM229B	MP38	-0.0069061	0.99865
FAM229B	MP41	0.12628	0.67922
FAM229B	MP46	0.10056	0.82182
FAM229B	OMM1	0.15331	0.64034
FAM229B	OMM23	0.074186	0.88191
FAM229B	OMM25	0.013256	0.9725
FAM24A	921	0.039597	0.99871
FAM24A	Mel202	0.11895	0.73429
FAM24A	Mel270	0.27106	0.17818
FAM24A	Mel285	0.31941	0.26423
FAM24A	MP38	0.25543	0.075309
FAM24A	MP41	0.30554	0.052419
FAM24A	MP46	0.072289	0.87667
FAM24A	OMM1	0.21003	0.30512
FAM24A	OMM23	0.17164	0.44613
FAM24A	OMM25	0.17782	0.50474
FAM24B	921	0.28884	0.69249
FAM24B	Mel202	0.3019	0.13831
FAM24B	Mel270	0.19658	0.45518
FAM24B	Mel285	0.35409	0.17058
FAM24B	MP38	0.20299	0.2485
FAM24B	MP41	0.33986	0.038898
FAM24B	MP46	0.15857	0.50676
FAM24B	OMM1	0.23957	0.19253
FAM24B	OMM23	0.099263	0.77896
FAM24B	OMM25	0.33116	0.045943
FAM25A	921	-0.24231	0.79916
FAM25A	Mel202	-0.39361	0.60102
FAM25A	Mel270	-0.062428	0.93916
FAM25A	Mel285	-0.12394	0.83223
FAM25A	MP38	-0.055596	0.93681
FAM25A	MP41	-0.39275	0.44717
FAM25A	MP46	0.1605	0.66621
FAM25A	OMM1	-0.39785	0.57022
FAM25A	OMM23	-0.14431	0.85179
FAM25A	OMM25	-0.16608	0.83578
CALHM4	921	0.42982	0.32391
CALHM4	Mel202	0.30792	0.075986
CALHM4	Mel270	0.086187	0.79884
CALHM4	Mel285	0.15742	0.73542
CALHM4	MP38	0.082827	0.78592
CALHM4	MP41	0.10539	0.66544
CALHM4	MP46	-0.010839	0.97756
CALHM4	OMM1	0.092938	0.76871
CALHM4	OMM23	0.042885	0.91849
CALHM4	OMM25	0.070983	0.8381
CALHM5	921	0.030641	0.99859
CALHM5	Mel202	0.031272	0.9302
CALHM5	Mel270	0.2394	0.28743
CALHM5	Mel285	0.20766	0.62495
CALHM5	MP38	0.020044	0.96103
CALHM5	MP41	0.11802	0.64994
CALHM5	MP46	0.060503	0.9027
CALHM5	OMM1	0.18976	0.40159
CALHM5	OMM23	0.076921	0.84726
CALHM5	OMM25	0.16964	0.53434
CALHM6	921	0.68222	0.002924
CALHM6	Mel202	0.32975	0.0063694
CALHM6	Mel270	0.25398	0.053159
CALHM6	Mel285	0.23497	0.31289
CALHM6	MP38	0.14186000000000001	0.3073
CALHM6	MP41	0.19014	0.12632
CALHM6	MP46	0.028293	0.95116
CALHM6	OMM1	0.21212	0.10562
CALHM6	OMM23	0.16697	0.22173
CALHM6	OMM25	0.19345	0.20571
FAM32A	921	-0.79456	0.11481
FAM32A	Mel202	-0.53079	0.27436
FAM32A	Mel270	-0.73568	0.067446
FAM32A	Mel285	-0.29434	0.40277
FAM32A	MP38	-0.3099	0.36883
FAM32A	MP41	-0.25753	0.52293
FAM32A	MP46	-0.20807	0.41871
FAM32A	OMM1	-0.73139	0.067753
FAM32A	OMM23	-0.69531	0.101
FAM32A	OMM25	-0.68031	0.11151
SHLD2	921	-0.31366	0.73207
SHLD2	Mel202	-0.09985	0.91643
SHLD2	Mel270	-0.13544	0.85937
SHLD2	Mel285	0.081317	0.94397
SHLD2	MP38	-0.13294	0.83327
SHLD2	MP41	-0.10041	0.87944
SHLD2	MP46	0.066068	0.92227
SHLD2	OMM1	-0.17829	0.83225
SHLD2	OMM23	-0.204	0.78138
SHLD2	OMM25	-0.13352	0.875
FAM3A	921	0.62746	0.082108
FAM3A	Mel202	0.211	0.42847
FAM3A	Mel270	0.10251	0.7793
FAM3A	Mel285	0.22311	0.57344
FAM3A	MP38	0.059441	0.882
FAM3A	MP41	0.11375	0.66682
FAM3A	MP46	0.032418	0.96007
FAM3A	OMM1	0.31012	0.046214
FAM3A	OMM23	0.15733	0.51353
FAM3A	OMM25	0.23103	0.2898
FAM3B	921	0.058541	0.98557
FAM3B	Mel202	0.10498	0.76948
FAM3B	Mel270	0.045103	0.90153
FAM3B	Mel285	-0.051252	0.90948
FAM3B	MP38	-0.047999	0.94165
FAM3B	MP41	0.14764	0.53547
FAM3B	MP46	-0.04574	0.92537
FAM3B	OMM1	0.24479	0.18097
FAM3B	OMM23	-0.070711	0.94322
FAM3B	OMM25	0.093086	0.81118
FAM3C	921	0.064533	0.98099
FAM3C	Mel202	0.12957	0.70555
FAM3C	Mel270	-0.084427	0.90744
FAM3C	Mel285	0.2298	0.54808
FAM3C	MP38	0.10035	0.75488
FAM3C	MP41	0.089014	0.75709
FAM3C	MP46	0.088576	0.83094
FAM3C	OMM1	0.029777	0.94549
FAM3C	OMM23	0.039216	0.93731
FAM3C	OMM25	0.31769	0.062721
FAM3D	921	0.43692	0.3902
FAM3D	Mel202	0.32432	0.091212
FAM3D	Mel270	0.17372	0.53668
FAM3D	Mel285	0.2382	0.52416
FAM3D	MP38	0.052256	0.90199
FAM3D	MP41	0.16586	0.45803
FAM3D	MP46	0.075373	0.86935
FAM3D	OMM1	0.12645	0.68167
FAM3D	OMM23	0.17366	0.43517
FAM3D	OMM25	0.14277	0.64874
FAM43A	921	0.27994	0.71098
FAM43A	Mel202	-0.036537	0.99308
FAM43A	Mel270	0.0073167	0.9687
FAM43A	Mel285	-0.11749	0.78528
FAM43A	MP38	-0.037881	0.95823
FAM43A	MP41	0.061536	0.85388
FAM43A	MP46	-0.06052	0.89559
FAM43A	OMM1	0.053733	0.90446
FAM43A	OMM23	0.015578	0.97802
FAM43A	OMM25	-0.064033	0.95306
FAM43B	921	0.62759	0.082108
FAM43B	Mel202	0.20297	0.45826
FAM43B	Mel270	0.21661	0.37774
FAM43B	Mel285	0.18375	0.69845
FAM43B	MP38	-0.013181	0.99258
FAM43B	MP41	0.091656	0.74852
FAM43B	MP46	0.052807	0.92091
FAM43B	OMM1	0.094733	0.80315
FAM43B	OMM23	0.11891	0.6961
FAM43B	OMM25	0.19416	0.43831
DENND10	921	-0.29514	0.6548
DENND10	Mel202	-0.044221	0.98613
DENND10	Mel270	-0.069861	0.92945
DENND10	Mel285	-0.13258	0.76137
DENND10	MP38	0.013075	0.97289
DENND10	MP41	-0.013594	0.99911
DENND10	MP46	-0.071051	0.87663
DENND10	OMM1	-0.10031	0.91146
DENND10	OMM23	-0.14665	0.82959
DENND10	OMM25	-0.1132	0.88683
TENT5A	921	0.17325	0.87592
TENT5A	Mel202	-0.15884	0.83339
TENT5A	Mel270	0.16788	0.55847
TENT5A	Mel285	0.12515	0.84223
TENT5A	MP38	0.013792	0.9713
TENT5A	MP41	-0.051828	0.94421
TENT5A	MP46	0.030418	0.96226
TENT5A	OMM1	-0.020604	0.99634
TENT5A	OMM23	0.026729	0.96438
TENT5A	OMM25	-0.029686	0.98608
TENT5B	921	0.38601	0.4914
TENT5B	Mel202	0.0063371	0.96708
TENT5B	Mel270	0.15134	0.61558
TENT5B	Mel285	0.29045	0.35541
TENT5B	MP38	0.016515	0.96803
TENT5B	MP41	0.049067	0.88627
TENT5B	MP46	0.011662	0.98763
TENT5B	OMM1	-0.0026574	0.98634
TENT5B	OMM23	-0.010753	0.99765
TENT5B	OMM25	0.11852	0.72992
TENT5C	921	0.27000999999999997	0.73053
TENT5C	Mel202	0.0085737	0.96314
TENT5C	Mel270	-0.058147	0.94737
TENT5C	Mel285	0.058189	0.95973
TENT5C	MP38	-0.049491	0.9397
TENT5C	MP41	-0.1372	0.7738
TENT5C	MP46	-0.13303	0.69721
TENT5C	OMM1	-0.11941	0.88948
TENT5C	OMM23	-0.07154	0.9414
TENT5C	OMM25	-0.12576	0.86985
TENT5D	921	0.29795	0.67741
TENT5D	Mel202	0.29002	0.16808
TENT5D	Mel270	0.010995	0.96415
TENT5D	Mel285	0.11636	0.86406
TENT5D	MP38	0.039237	0.92596
TENT5D	MP41	0.10185	0.71131
TENT5D	MP46	0.0018341	0.99627
TENT5D	OMM1	0.091801	0.80988
TENT5D	OMM23	0.092564	0.79628
TENT5D	OMM25	0.20162	0.40698
FAM47A	921	0.32382	0.62774
FAM47A	Mel202	0.30414	0.13374
FAM47A	Mel270	0.22997	0.32577
FAM47A	Mel285	0.06689	0.94419
FAM47A	MP38	0.13024	0.62461
FAM47A	MP41	0.18877	0.36265
FAM47A	MP46	0.058055	0.90883
FAM47A	OMM1	0.29944	0.057399
FAM47A	OMM23	0.18008	0.40993
FAM47A	OMM25	0.26376	0.18562
FAM47B	921	-0.13483	0.85521
FAM47B	Mel202	-0.070965	0.95618
FAM47B	Mel270	0.054897	0.88393
FAM47B	Mel285	0.060954	0.95375
FAM47B	MP38	0.085428	0.80972
FAM47B	MP41	0.060679	0.85482
FAM47B	MP46	0.10013	0.787
FAM47B	OMM1	0.11933	0.70918
FAM47B	OMM23	-0.02918	0.98439
FAM47B	OMM25	0.12769	0.70178
FAM47C	921	0.46487	0.42681
FAM47C	Mel202	0.25871	0.3518
FAM47C	Mel270	0.21987	0.44717
FAM47C	Mel285	0.13374	0.85346
FAM47C	MP38	0.02669	0.95655
FAM47C	MP41	0.1633	0.54786
FAM47C	MP46	0.076524	0.88444
FAM47C	OMM1	0.22854	0.33426
FAM47C	OMM23	0.043162	0.94884
FAM47C	OMM25	0.2047	0.48423
FAM47E	921	-0.038701	0.94955
FAM47E	Mel202	0.0777	0.83706
FAM47E	Mel270	-0.10303	0.88231
FAM47E	Mel285	0.090327	0.91371
FAM47E	MP38	-0.047135	0.94316
FAM47E	MP41	0.12203	0.63347
FAM47E	MP46	0.13803	0.61519
FAM47E	OMM1	-0.1577	0.83292
FAM47E	OMM23	6.1412e-4	0.98754
FAM47E	OMM25	0.014406	0.96714
FAM47E-STBD1	921	0.030722	0.9991
FAM47E-STBD1	Mel202	0.2054	0.52482
FAM47E-STBD1	Mel270	0.15299	0.6694
FAM47E-STBD1	Mel285	0.097765	0.91468
FAM47E-STBD1	MP38	0.15453	0.57848
FAM47E-STBD1	MP41	0.12371	0.68837
FAM47E-STBD1	MP46	0.10389	0.8107
FAM47E-STBD1	OMM1	0.15868	0.62264
FAM47E-STBD1	OMM23	0.19329	0.43101
FAM47E-STBD1	OMM25	0.11112	0.79998
CYRIA	921	0.43522	0.39331
CYRIA	Mel202	0.45628	0.0082305
CYRIA	Mel270	0.23911	0.28827
CYRIA	Mel285	0.20081	0.64432
CYRIA	MP38	0.32984	0.016867
CYRIA	MP41	0.38434	0.015317
CYRIA	MP46	0.21985	0.17448
CYRIA	OMM1	0.28585	0.086677
CYRIA	OMM23	0.10744	0.74711
CYRIA	OMM25	0.43725	0.004902
CYRIB	921	0.066695	0.97927
CYRIB	Mel202	-0.17434	0.81413
CYRIB	Mel270	0.040271	0.91004
CYRIB	Mel285	0.56346	0.0032258
CYRIB	MP38	0.084398	0.81206
CYRIB	MP41	0.13205	0.59211
CYRIB	MP46	0.0086648	0.99234
CYRIB	OMM1	0.23965	0.19253
CYRIB	OMM23	0.18281	0.3922
CYRIB	OMM25	0.097244	0.80257
FAM50A	921	-0.42859	0.46439
FAM50A	Mel202	0.16565	0.58921
FAM50A	Mel270	-0.97225	0.0162
FAM50A	Mel285	-0.021588	0.94559
FAM50A	MP38	-0.10523	0.84632
FAM50A	MP41	-0.24459	0.5471
FAM50A	MP46	0.10786	0.75856
FAM50A	OMM1	-0.14492	0.85028
FAM50A	OMM23	-0.5726	0.18064
FAM50A	OMM25	0.0776	0.84677
FAM50B	921	0.55967	0.16413
FAM50B	Mel202	-0.052383	0.97879
FAM50B	Mel270	0.10145	0.78197
FAM50B	Mel285	0.18132	0.70576
FAM50B	MP38	0.075357	0.83512
FAM50B	MP41	0.1688	0.44648
FAM50B	MP46	0.051635	0.92227
FAM50B	OMM1	0.078296	0.84863
FAM50B	OMM23	0.028497	0.96226
FAM50B	OMM25	0.08247	0.83595
FAM53A	921	0.10081	0.9532
FAM53A	Mel202	0.040274	0.91127
FAM53A	Mel270	0.12316	0.71346
FAM53A	Mel285	0.25961	0.44824
FAM53A	MP38	0.050132	0.90733
FAM53A	MP41	0.11541	0.66228
FAM53A	MP46	0.033168	0.9596
FAM53A	OMM1	0.0093559	0.9716
FAM53A	OMM23	0.11973	0.69419
FAM53A	OMM25	0.14088	0.65361
FAM53B	921	0.098424	0.95346
FAM53B	Mel202	0.036498	0.91932
FAM53B	Mel270	-0.14827	0.82337
FAM53B	Mel285	0.04571	0.97563
FAM53B	MP38	-0.036198	0.96103
FAM53B	MP41	0.028264	0.93236
FAM53B	MP46	-0.031841	0.95078
FAM53B	OMM1	0.028356	0.94932
FAM53B	OMM23	3.9904e-4	0.98761
FAM53B	OMM25	0.17935	0.50023
FAM53C	921	-0.052805	0.93356
FAM53C	Mel202	0.13995	0.67765
FAM53C	Mel270	0.13077	0.69406
FAM53C	Mel285	-0.023093	0.94368
FAM53C	MP38	0.085113	0.81058
FAM53C	MP41	0.11195	0.67338
FAM53C	MP46	0.088758	0.83075
FAM53C	OMM1	0.10075	0.77865
FAM53C	OMM23	0.081336	0.83246
FAM53C	OMM25	0.02417	0.95313
TLCD3A	921	0.034132	0.99944
TLCD3A	Mel202	-0.13558	0.86781
TLCD3A	Mel270	0.18388	0.49877
TLCD3A	Mel285	-0.10807	0.79993
TLCD3A	MP38	0.031711	0.93872
TLCD3A	MP41	0.072861	0.82165
TLCD3A	MP46	0.063526	0.89584
TLCD3A	OMM1	0.090407	0.81357
TLCD3A	OMM23	0.14675	0.57099
TLCD3A	OMM25	0.15874	0.57984
TLCD3B	921	0.24732	0.77108
TLCD3B	Mel202	3.5171e-4	0.97569
TLCD3B	Mel270	-0.023347	0.99046
TLCD3B	Mel285	0.012188	0.98939
TLCD3B	MP38	-0.063043	0.92422
TLCD3B	MP41	-0.083781	0.88932
TLCD3B	MP46	-0.0050989	0.98627
TLCD3B	OMM1	-0.14576	0.84918
TLCD3B	OMM23	0.0024554	0.98622
TLCD3B	OMM25	-0.26895	0.64136
SINHCAF	921	-0.87469	0.070556
SINHCAF	Mel202	-0.29835	0.63164
SINHCAF	Mel270	-0.49659	0.2577
SINHCAF	Mel285	-0.22489	0.54486
SINHCAF	MP38	-0.098422	0.86031
SINHCAF	MP41	-0.1432	0.75874
SINHCAF	MP46	-0.052285	0.91235
SINHCAF	OMM1	-0.22793	0.71429
SINHCAF	OMM23	-0.35168	0.47645
SINHCAF	OMM25	-0.27937	0.61993
MINDY1	921	9.8905e-5	0.97724
MINDY1	Mel202	0.068888	0.85976
MINDY1	Mel270	0.05015	0.89187
MINDY1	Mel285	0.15604	0.77063
MINDY1	MP38	-0.12533	0.81206
MINDY1	MP41	0.05743	0.86254
MINDY1	MP46	-0.0078545	0.982
MINDY1	OMM1	-0.055432	0.96591
MINDY1	OMM23	-0.036542	0.97988
MINDY1	OMM25	-0.012796	0.99768
MINDY2	921	0.074352	0.97325
MINDY2	Mel202	0.10074	0.77933
MINDY2	Mel270	-0.011975	0.99117
MINDY2	Mel285	0.02639	0.99568
MINDY2	MP38	0.050748	0.90715
MINDY2	MP41	0.04804	0.88817
MINDY2	MP46	-0.028423	0.95485
MINDY2	OMM1	-0.044308	0.97292
MINDY2	OMM23	0.046717	0.92379
MINDY2	OMM25	-0.1793	0.78931
PIMREG	921	-0.14019	0.84991
PIMREG	Mel202	0.035362	0.92179
PIMREG	Mel270	-0.049011	0.96061
PIMREG	Mel285	0.11356	0.87106
PIMREG	MP38	-0.04507	0.9458
PIMREG	MP41	-0.055917	0.93949
PIMREG	MP46	0.048516	0.93219
PIMREG	OMM1	0.18659	0.4102
PIMREG	OMM23	0.067925	0.87002
PIMREG	OMM25	0.15266	0.60633
RIPOR1	921	0.5242	0.22461
RIPOR1	Mel202	0.2448	0.30472
RIPOR1	Mel270	0.23961	0.28718
RIPOR1	Mel285	0.17138	0.73171
RIPOR1	MP38	0.16826	0.42671
RIPOR1	MP41	0.080565	0.79153
RIPOR1	MP46	-0.021434	0.96388
RIPOR1	OMM1	0.054145	0.90423
RIPOR1	OMM23	0.011003	0.97988
RIPOR1	OMM25	0.18024	0.49664
RIPOR2	921	-0.4072	0.49546
RIPOR2	Mel202	0.027055	0.9365
RIPOR2	Mel270	-0.068497	0.92975
RIPOR2	Mel285	0.19314	0.66829
RIPOR2	MP38	0.12139	0.66298
RIPOR2	MP41	0.016969	0.95101
RIPOR2	MP46	0.019132	0.97723
RIPOR2	OMM1	-0.0346	0.9848
RIPOR2	OMM23	0.11116	0.72739
RIPOR2	OMM25	0.05776	0.8895
RIPOR3	921	0.52169	0.22978
RIPOR3	Mel202	0.13655	0.68768
RIPOR3	Mel270	0.077418	0.84199
RIPOR3	Mel285	0.1047	0.88695
RIPOR3	MP38	0.11073	0.71287
RIPOR3	MP41	0.17435	0.42477
RIPOR3	MP46	0.082991	0.84527
RIPOR3	OMM1	0.11538	0.72403
RIPOR3	OMM23	0.28573	0.058824
RIPOR3	OMM25	0.055661	0.89596
DIPK1A	921	-0.34642	0.58459
DIPK1A	Mel202	0.13027	0.70346
DIPK1A	Mel270	-0.092351	0.897
DIPK1A	Mel285	0.11086	0.87488
DIPK1A	MP38	0.047314	0.91204
DIPK1A	MP41	-0.42096	0.2129
DIPK1A	MP46	-0.02842	0.95485
DIPK1A	OMM1	-0.42774	0.35726
DIPK1A	OMM23	-0.2506	0.65568
DIPK1A	OMM25	-0.13046	0.86169
DIPK1B	921	-0.5489	0.31164
DIPK1B	Mel202	-0.066943	0.96233
DIPK1B	Mel270	0.049287	0.89433
DIPK1B	Mel285	-0.065172	0.88479
DIPK1B	MP38	0.093722	0.78
DIPK1B	MP41	0.066335	0.83942
DIPK1B	MP46	0.011521	0.98763
DIPK1B	OMM1	-0.089377	0.9272
DIPK1B	OMM23	-0.1088	0.88864
DIPK1B	OMM25	-0.063457	0.95425
DIPK1C	921	0.18631	0.85931
DIPK1C	Mel202	0.23045	0.36109
DIPK1C	Mel270	0.29928	0.11325
DIPK1C	Mel285	0.26254	0.44367
DIPK1C	MP38	0.18063	0.35704
DIPK1C	MP41	0.24927	0.13106
DIPK1C	MP46	0.1217	0.69721
DIPK1C	OMM1	0.34869	0.020539
DIPK1C	OMM23	0.22939	0.19822
DIPK1C	OMM25	0.29658	0.098039
GARIN4	921	-0.18858	0.79457
GARIN4	Mel202	-0.22311	0.73609
GARIN4	Mel270	-0.11896	0.86317
GARIN4	Mel285	-0.025037	0.94146
GARIN4	MP38	-0.033168	0.9672
GARIN4	MP41	0.030398	0.92922
GARIN4	MP46	0.11478	0.72486
GARIN4	OMM1	-0.0028415	0.98636
GARIN4	OMM23	0.012733	0.97829
GARIN4	OMM25	-0.062226	0.95495
GARIN3	921	-0.077776	0.91925
GARIN3	Mel202	-0.011477	0.99348
GARIN3	Mel270	0.060601	0.89649
GARIN3	Mel285	-0.2031	0.65908
GARIN3	MP38	0.1351	0.66723
GARIN3	MP41	0.071175	0.85568
GARIN3	MP46	-0.072075	0.88646
GARIN3	OMM1	0.02137	0.96846
GARIN3	OMM23	-0.095244	0.91396
GARIN3	OMM25	-0.058383	0.95795
GARIN6	921	0.027222	0.99642
GARIN6	Mel202	0.063847	0.86999
GARIN6	Mel270	0.21691	0.37642
GARIN6	Mel285	0.10429	0.8881
GARIN6	MP38	0.0038726	0.98839
GARIN6	MP41	0.060118	0.85661
GARIN6	MP46	0.11226	0.73791
GARIN6	OMM1	0.12488	0.68821
GARIN6	OMM23	0.06332	0.88191
GARIN6	OMM25	0.12303	0.71559
GARIN2	921	0.033377	0.99944
GARIN2	Mel202	0.071996	0.85006
