Gene stable ID	Gene stable ID version	Gene name	HGNC symbol	HGNC ID
ENSG00000288499	ENSG00000288499.1	FAM20C	FAM20C	HGNC:22140
ENSG00000281934	ENSG00000281934.1	PRAMEF11	PRAMEF11	HGNC:14086
ENSG00000282175	ENSG00000282175.4	HNRNPCL1	HNRNPCL1	HGNC:29295
ENSG00000282817	ENSG00000282817.1	PRAMEF2	PRAMEF2	HGNC:28841
ENSG00000282584	ENSG00000282584.2	PRAMEF4	PRAMEF4	HGNC:31971
ENSG00000288243	ENSG00000288243.1	STING1	STING1	HGNC:27962
ENSG00000282663	ENSG00000282663.1	PRAMEF10	PRAMEF10	HGNC:27997
ENSG00000279195	ENSG00000279195.2	PRAMEF7	PRAMEF7	HGNC:28415
ENSG00000282119	ENSG00000282119.2	PRAMEF6	PRAMEF6	HGNC:30583
ENSG00000291381	ENSG00000291381.1	ARHGEF19	ARHGEF19	HGNC:26604
ENSG00000291382	ENSG00000291382.1	CPLANE2	CPLANE2	HGNC:28127
ENSG00000291375	ENSG00000291375.1	FBXO42	FBXO42	HGNC:29249
ENSG00000291379	ENSG00000291379.1	SZRD1	SZRD1	HGNC:30232
ENSG00000291401	ENSG00000291401.1	SPATA21	SPATA21	HGNC:28026
ENSG00000291380	ENSG00000291380.1	NECAP2	NECAP2	HGNC:25528
ENSG00000282741	ENSG00000282741.3	PRAMEF13	PRAMEF13	HGNC:13262
ENSG00000282212	ENSG00000282212.2	PRAMEF18	PRAMEF18	HGNC:30693
ENSG00000282424	ENSG00000282424.1	PRAMEF5	PRAMEF5	HGNC:27995
ENSG00000282583	ENSG00000282583.1	PRAMEF8	PRAMEF8	HGNC:24074
ENSG00000293551	ENSG00000293551.1	PRAMEF22	PRAMEF22	HGNC:34393
ENSG00000291387	ENSG00000291387.1	PADI2	PADI2	HGNC:18341
ENSG00000291420	ENSG00000291420.1	ACTG1	ACTG1	HGNC:144
ENSG00000281449	ENSG00000281449.2	BCL2L14	BCL2L14	HGNC:16657
ENSG00000281324	ENSG00000281324.3	LRP6	LRP6	HGNC:6698
ENSG00000281818	ENSG00000281818.3	MANSC1	MANSC1	HGNC:25505
ENSG00000280689	ENSG00000280689.3	BORCS5	BORCS5	HGNC:17950
ENSG00000280962	ENSG00000280962.3	DUSP16	DUSP16	HGNC:17909
ENSG00000291426	ENSG00000291426.1	TOLLIP	TOLLIP	HGNC:16476
ENSG00000291428	ENSG00000291428.1	BRSK2	BRSK2	HGNC:11405
ENSG00000291431	ENSG00000291431.1	DUSP8	DUSP8	HGNC:3074
ENSG00000291433	ENSG00000291433.1	KRTAP5-1	KRTAP5-1	HGNC:23596
ENSG00000291434	ENSG00000291434.1	KRTAP5-2	KRTAP5-2	HGNC:23597
ENSG00000291435	ENSG00000291435.1	KRTAP5-3	KRTAP5-3	HGNC:23598
ENSG00000291443	ENSG00000291443.1	KRTAP5-5	KRTAP5-5	HGNC:23601
ENSG00000291442	ENSG00000291442.1	MOB2	MOB2	HGNC:24904
ENSG00000292327	ENSG00000292327.1	PPP2R3B	PPP2R3B	HGNC:13417
ENSG00000292332	ENSG00000292332.1	IL3RA	IL3RA	HGNC:6012
ENSG00000292333	ENSG00000292333.1	P2RY8	P2RY8	HGNC:15524
ENSG00000292334	ENSG00000292334.1	SLC25A6	SLC25A6	HGNC:10992
ENSG00000292338	ENSG00000292338.1	DHRSX	DHRSX	HGNC:18399
ENSG00000292339	ENSG00000292339.1	ASMTL	ASMTL	HGNC:751
ENSG00000292344	ENSG00000292344.1	PLCXD1	PLCXD1	HGNC:23148
ENSG00000292345	ENSG00000292345.1	ZBED1	ZBED1	HGNC:447
ENSG00000292348	ENSG00000292348.1	CD99	CD99	HGNC:7082
ENSG00000292354	ENSG00000292354.1	SHOX	SHOX	HGNC:10853
ENSG00000292343	ENSG00000292343.1	AKAP17A	AKAP17A	HGNC:18783
ENSG00000292336	ENSG00000292336.1	ASMT	ASMT	HGNC:750
ENSG00000292357	ENSG00000292357.2	CSF2RA	CSF2RA	HGNC:2435
ENSG00000288124	ENSG00000288124.1	C1RL	C1RL	HGNC:21265
ENSG00000292366	ENSG00000292366.1	VAMP7	VAMP7	HGNC:11486
ENSG00000292373	ENSG00000292373.2	IL9R	IL9R	HGNC:6030
ENSG00000288369	ENSG00000288369.1	RBP5	RBP5	HGNC:15847
ENSG00000288427	ENSG00000288427.1	CLSTN3	CLSTN3	HGNC:18371
ENSG00000114374	ENSG00000114374.13	USP9Y	USP9Y	HGNC:12633
ENSG00000198692	ENSG00000198692.10	EIF1AY	EIF1AY	HGNC:3252
ENSG00000288217	ENSG00000288217.3	PEX5	PEX5	HGNC:9719
ENSG00000169953	ENSG00000169953.12	HSFY2	HSFY2	HGNC:23950
ENSG00000012817	ENSG00000012817.16	KDM5D	KDM5D	HGNC:11115
ENSG00000172468	ENSG00000172468.14	HSFY1	HSFY1	HGNC:18568
ENSG00000176679	ENSG00000176679.9	TGIF2LY	TGIF2LY	HGNC:18569
ENSG00000185894	ENSG00000185894.8	BPY2C	BPY2C	HGNC:18225
ENSG00000129873	ENSG00000129873.8	CDY2B	CDY2B	HGNC:23921
ENSG00000184895	ENSG00000184895.8	SRY	SRY	HGNC:11311
ENSG00000129824	ENSG00000129824.16	RPS4Y1	RPS4Y1	HGNC:10425
ENSG00000067646	ENSG00000067646.12	ZFY	ZFY	HGNC:12870
ENSG00000067048	ENSG00000067048.17	DDX3Y	DDX3Y	HGNC:2699
ENSG00000281230	ENSG00000281230.3	SERTAD4	SERTAD4	HGNC:25236
ENSG00000183878	ENSG00000183878.16	UTY	UTY	HGNC:12638
ENSG00000280680	ENSG00000280680.3	HHAT	HHAT	HGNC:18270
ENSG00000154620	ENSG00000154620.6	TMSB4Y	TMSB4Y	HGNC:11882
ENSG00000129864	ENSG00000129864.7	VCY	VCY	HGNC:12668
ENSG00000099721	ENSG00000099721.16	AMELY	AMELY	HGNC:462
ENSG00000092377	ENSG00000092377.15	TBL1Y	TBL1Y	HGNC:18502
ENSG00000285435	ENSG00000285435.3	H3-4	H3-4	HGNC:4778
ENSG00000284841	ENSG00000284841.1	H2AC25	H2AC25	HGNC:20507
ENSG00000285449	ENSG00000285449.1	H2BC26	H2BC26	HGNC:20514
ENSG00000284984	ENSG00000284984.2	RHOU	RHOU	HGNC:17794
ENSG00000165246	ENSG00000165246.15	NLGN4Y	NLGN4Y	HGNC:15529
ENSG00000129862	ENSG00000129862.7	VCY1B	VCY1B	HGNC:31751
ENSG00000280969	ENSG00000280969.2	RPS4Y2	RPS4Y2	HGNC:18501
ENSG00000183146	ENSG00000183146.4	PRORY	PRORY	HGNC:38732
ENSG00000099715	ENSG00000099715.15	PCDH11Y	PCDH11Y	HGNC:15813
ENSG00000172352	ENSG00000172352.5	CDY1B	CDY1B	HGNC:23920
ENSG00000258992	ENSG00000258992.7	TSPY1	TSPY1	HGNC:12381
ENSG00000281320	ENSG00000281320.3	DYRK1B	DYRK1B	HGNC:3092
ENSG00000280548	ENSG00000280548.4	FBL	FBL	HGNC:3599
ENSG00000281221	ENSG00000281221.3	PSMC4	PSMC4	HGNC:9551
ENSG00000281526	ENSG00000281526.3	ZNF546	ZNF546	HGNC:28671
ENSG00000281601	ENSG00000281601.5	ZNF780B	ZNF780B	HGNC:33109
ENSG00000280568	ENSG00000280568.2	ZNF780A	ZNF780A	HGNC:27603
ENSG00000281123	ENSG00000281123.5	FCGBP	FCGBP	HGNC:13572
ENSG00000283153	ENSG00000283153.2	FRG1	FRG1	HGNC:3954
ENSG00000288360	ENSG00000288360.1	ZSWIM4	ZSWIM4	HGNC:25704
ENSG00000288505	ENSG00000288505.1	NANOS3	NANOS3	HGNC:22048
ENSG00000288152	ENSG00000288152.1	BRME1	BRME1	HGNC:28153
ENSG00000288293	ENSG00000288293.1	CC2D1A	CC2D1A	HGNC:30237
ENSG00000288195	ENSG00000288195.1	PODNL1	PODNL1	HGNC:26275
ENSG00000288453	ENSG00000288453.1	DCAF15	DCAF15	HGNC:25095
ENSG00000288283	ENSG00000288283.1	RFX1	RFX1	HGNC:9982
ENSG00000288474	ENSG00000288474.1	RLN3	RLN3	HGNC:17135
ENSG00000288185	ENSG00000288185.1	IL27RA	IL27RA	HGNC:17290
ENSG00000288318	ENSG00000288318.1	PALM3	PALM3	HGNC:33274
ENSG00000288239	ENSG00000288239.1	C19orf67	C19orf67	HGNC:34354
ENSG00000288516	ENSG00000288516.1	PRKACA	PRKACA	HGNC:9380
ENSG00000288210	ENSG00000288210.1	ASF1B	ASF1B	HGNC:20996
ENSG00000288324	ENSG00000288324.1	ADGRL1	ADGRL1	HGNC:20973
ENSG00000280584	ENSG00000280584.3	OBP2B	OBP2B	HGNC:23381
ENSG00000281309	ENSG00000281309.2	SURF6	SURF6	HGNC:11478
ENSG00000281022	ENSG00000281022.3	MED22	MED22	HGNC:11477
ENSG00000280858	ENSG00000280858.3	RPL7A	RPL7A	HGNC:10364
ENSG00000280627	ENSG00000280627.3	SURF1	SURF1	HGNC:11474
ENSG00000281024	ENSG00000281024.3	SURF2	SURF2	HGNC:11475
ENSG00000280951	ENSG00000280951.3	SURF4	SURF4	HGNC:11476
ENSG00000027001	ENSG00000027001.10	MIPEP	MIPEP	HGNC:7104
ENSG00000281245	ENSG00000281245.2	STKLD1	STKLD1	HGNC:28669
ENSG00000280706	ENSG00000280706.3	REXO4	REXO4	HGNC:12820
ENSG00000102753	ENSG00000102753.10	KPNA3	KPNA3	HGNC:6396
ENSG00000288204	ENSG00000288204.1	HMX1	HMX1	HGNC:5017
ENSG00000165475	ENSG00000165475.15	CRYL1	CRYL1	HGNC:18246
ENSG00000281244	ENSG00000281244.2	ADAMTS13	ADAMTS13	HGNC:1366
ENSG00000102547	ENSG00000102547.19	CAB39L	CAB39L	HGNC:20290
ENSG00000120675	ENSG00000120675.6	DNAJC15	DNAJC15	HGNC:20325
ENSG00000132975	ENSG00000132975.8	GPR12	GPR12	HGNC:4466
ENSG00000132970	ENSG00000132970.14	WASF3	WASF3	HGNC:12734
ENSG00000133110	ENSG00000133110.15	POSTN	POSTN	HGNC:16953
ENSG00000291368	ENSG00000291368.1	ACR	ACR	HGNC:126
ENSG00000280479	ENSG00000280479.2	CACFD1	CACFD1	HGNC:1365
ENSG00000281165	ENSG00000281165.3	SLC2A6	SLC2A6	HGNC:11011
ENSG00000102531	ENSG00000102531.16	FNDC3A	FNDC3A	HGNC:20296
ENSG00000183722	ENSG00000183722.9	LHFPL6	LHFPL6	HGNC:6586
ENSG00000288269	ENSG00000288269.1	GCGR	GCGR	HGNC:4192
ENSG00000023516	ENSG00000023516.9	AKAP11	AKAP11	HGNC:369
ENSG00000204899	ENSG00000204899.6	MZT1	MZT1	HGNC:33830
ENSG00000120685	ENSG00000120685.20	PROSER1	PROSER1	HGNC:20291
ENSG00000288213	ENSG00000288213.1	MCRIP1	MCRIP1	HGNC:28007
ENSG00000165837	ENSG00000165837.12	ERICH6B	ERICH6B	HGNC:26523
ENSG00000154646	ENSG00000154646.9	TMPRSS15	TMPRSS15	HGNC:9490
ENSG00000083535	ENSG00000083535.16	PIBF1	PIBF1	HGNC:23352
ENSG00000288186	ENSG00000288186.1	PPP1R27	PPP1R27	HGNC:16813
ENSG00000154639	ENSG00000154639.19	CXADR	CXADR	HGNC:2559
ENSG00000136122	ENSG00000136122.18	BORA	BORA	HGNC:24724
ENSG00000150361	ENSG00000150361.12	KLHL1	KLHL1	HGNC:6352
ENSG00000142207	ENSG00000142207.7	URB1	URB1	HGNC:17344
ENSG00000291465	ENSG00000291465.1	GPR20	GPR20	HGNC:4475
ENSG00000136155	ENSG00000136155.17	SCEL	SCEL	HGNC:10573
ENSG00000291470	ENSG00000291470.1	PTP4A3	PTP4A3	HGNC:9636
ENSG00000232263	ENSG00000232263.1	KRTAP25-1	KRTAP25-1	HGNC:34003
ENSG00000154721	ENSG00000154721.15	JAM2	JAM2	HGNC:14686
ENSG00000158270	ENSG00000158270.12	COLEC12	COLEC12	HGNC:16016
ENSG00000156282	ENSG00000156282.5	CLDN17	CLDN17	HGNC:2038
ENSG00000150893	ENSG00000150893.11	FREM2	FREM2	HGNC:25396
ENSG00000188694	ENSG00000188694.6	KRTAP24-1	KRTAP24-1	HGNC:33902
ENSG00000156304	ENSG00000156304.15	SCAF4	SCAF4	HGNC:19304
ENSG00000136111	ENSG00000136111.14	TBC1D4	TBC1D4	HGNC:19165
ENSG00000141401	ENSG00000141401.12	IMPA2	IMPA2	HGNC:6051
ENSG00000281894	ENSG00000281894.3	ZKSCAN7	ZKSCAN7	HGNC:12955
ENSG00000136158	ENSG00000136158.12	SPRY2	SPRY2	HGNC:11270
ENSG00000168461	ENSG00000168461.13	RAB31	RAB31	HGNC:9771
ENSG00000120686	ENSG00000120686.12	UFM1	UFM1	HGNC:20597
ENSG00000102554	ENSG00000102554.14	KLF5	KLF5	HGNC:6349
ENSG00000176105	ENSG00000176105.14	YES1	YES1	HGNC:12841
ENSG00000154654	ENSG00000154654.15	NCAM2	NCAM2	HGNC:7657
ENSG00000283781	ENSG00000283781.1	TNK1	TNK1	HGNC:11940
ENSG00000174015	ENSG00000174015.10	CBY2	CBY2	HGNC:30720
ENSG00000280661	ENSG00000280661.2	ZNF660	ZNF660	HGNC:26720
ENSG00000134882	ENSG00000134882.16	UBAC2	UBAC2	HGNC:20486
ENSG00000281709	ENSG00000281709.3	ZNF197	ZNF197	HGNC:12988
ENSG00000284009	ENSG00000284009.2	PLSCR3	PLSCR3	HGNC:16495
ENSG00000156284	ENSG00000156284.6	CLDN8	CLDN8	HGNC:2050
ENSG00000178127	ENSG00000178127.13	NDUFV2	NDUFV2	HGNC:7717
ENSG00000142149	ENSG00000142149.9	HUNK	HUNK	HGNC:13326
ENSG00000133119	ENSG00000133119.13	RFC3	RFC3	HGNC:9971
ENSG00000154642	ENSG00000154642.11	C21orf91	C21orf91	HGNC:16459
ENSG00000281306	ENSG00000281306.3	ZNF35	ZNF35	HGNC:13099
ENSG00000154889	ENSG00000154889.17	MPPE1	MPPE1	HGNC:15988
ENSG00000152192	ENSG00000152192.8	POU4F1	POU4F1	HGNC:9218
ENSG00000159256	ENSG00000159256.13	MORC3	MORC3	HGNC:23572
ENSG00000281448	ENSG00000281448.3	ZNF502	ZNF502	HGNC:23718
ENSG00000182957	ENSG00000182957.16	SPATA13	SPATA13	HGNC:23222
ENSG00000283771	ENSG00000283771.2	TMEM256	TMEM256	HGNC:28618
ENSG00000283859	ENSG00000283859.2	NLGN2	NLGN2	HGNC:14290
ENSG00000281661	ENSG00000281661.3	ZNF501	ZNF501	HGNC:23717
ENSG00000281665	ENSG00000281665.2	KIAA1143	KIAA1143	HGNC:29198
ENSG00000284598	ENSG00000284598.2	SPEM1	SPEM1	HGNC:32429
ENSG00000283714	ENSG00000283714.2	SPEM2	SPEM2	HGNC:27315
ENSG00000280610	ENSG00000280610.3	KIF15	KIF15	HGNC:17273
ENSG00000284228	ENSG00000284228.2	TMEM102	TMEM102	HGNC:26722
ENSG00000283903	ENSG00000283903.2	FGF11	FGF11	HGNC:3667
ENSG00000159086	ENSG00000159086.15	PAXBP1	PAXBP1	HGNC:13579
ENSG00000283946	ENSG00000283946.2	CHRNB1	CHRNB1	HGNC:1961
ENSG00000188811	ENSG00000188811.14	NHLRC3	NHLRC3	HGNC:33751
ENSG00000102837	ENSG00000102837.7	OLFM4	OLFM4	HGNC:17190
ENSG00000283868	ENSG00000283868.2	ZBTB4	ZBTB4	HGNC:23847
ENSG00000284515	ENSG00000284515.1	SLC35G6	SLC35G6	HGNC:31351
ENSG00000065150	ENSG00000065150.21	IPO5	IPO5	HGNC:6402
ENSG00000284832	ENSG00000284832.2	POLR2A	POLR2A	HGNC:9187
ENSG00000101489	ENSG00000101489.20	CELF4	CELF4	HGNC:14015
ENSG00000205929	ENSG00000205929.11	EPCIP	EPCIP	HGNC:1305
ENSG00000280516	ENSG00000280516.4	TMEM42	TMEM42	HGNC:28444
ENSG00000281886	ENSG00000281886.3	TGM4	TGM4	HGNC:11780
ENSG00000205726	ENSG00000205726.15	ITSN1	ITSN1	HGNC:6183
ENSG00000293604	ENSG00000293604.1	ORAI1	ORAI1	HGNC:25896
ENSG00000139734	ENSG00000139734.19	DIAPH3	DIAPH3	HGNC:15480
ENSG00000231824	ENSG00000231824.4	AKAIN1	AKAIN1	HGNC:28285
ENSG00000132874	ENSG00000132874.15	SLC14A2	SLC14A2	HGNC:10919
ENSG00000017797	ENSG00000017797.13	RALBP1	RALBP1	HGNC:9841
ENSG00000141380	ENSG00000141380.14	SS18	SS18	HGNC:11340
ENSG00000291479	ENSG00000291479.1	NAT8	NAT8	HGNC:18069
ENSG00000291480	ENSG00000291480.1	TPRKB	TPRKB	HGNC:24259
ENSG00000291501	ENSG00000291501.1	TRIM71	TRIM71	HGNC:32669
ENSG00000291483	ENSG00000291483.1	DUSP11	DUSP11	HGNC:3066
ENSG00000291502	ENSG00000291502.1	CNOT10	CNOT10	HGNC:23817
ENSG00000284765	ENSG00000284765.2	CARMIL3	CARMIL3	HGNC:20272
ENSG00000291484	ENSG00000291484.1	C2orf78	C2orf78	HGNC:34349
ENSG00000118946	ENSG00000118946.12	PCDH17	PCDH17	HGNC:14267
ENSG00000180440	ENSG00000180440.4	SERTM1	SERTM1	HGNC:33792
ENSG00000139514	ENSG00000139514.13	SLC7A1	SLC7A1	HGNC:11057
ENSG00000285221	ENSG00000285221.1	CPNE6	CPNE6	HGNC:2319
ENSG00000088386	ENSG00000088386.17	SLC15A1	SLC15A1	HGNC:10920
ENSG00000284068	ENSG00000284068.1	KPNA7	KPNA7	HGNC:21839
ENSG00000101745	ENSG00000101745.17	ANKRD12	ANKRD12	HGNC:29135
ENSG00000150907	ENSG00000150907.10	FOXO1	FOXO1	HGNC:3819
ENSG00000136152	ENSG00000136152.15	COG3	COG3	HGNC:18619
ENSG00000285493	ENSG00000285493.3	NRL	NRL	HGNC:8002
ENSG00000152242	ENSG00000152242.11	ARK2N	ARK2N	HGNC:28172
ENSG00000285312	ENSG00000285312.1	C6orf52	C6orf52	HGNC:20881
ENSG00000285241	ENSG00000285241.2	PCK2	PCK2	HGNC:8725
ENSG00000285226	ENSG00000285226.2	PAK1IP1	PAK1IP1	HGNC:20882
ENSG00000154839	ENSG00000154839.10	SKA1	SKA1	HGNC:28109
ENSG00000136141	ENSG00000136141.15	LRCH1	LRCH1	HGNC:20309
ENSG00000284936	ENSG00000284936.2	TMEM14C	TMEM14C	HGNC:20952
ENSG00000285222	ENSG00000285222.3	GCNT2	GCNT2	HGNC:4204
ENSG00000141425	ENSG00000141425.18	RPRD1A	RPRD1A	HGNC:25560
ENSG00000102543	ENSG00000102543.14	CDADC1	CDADC1	HGNC:20299
ENSG00000152214	ENSG00000152214.14	RIT2	RIT2	HGNC:10017
ENSG00000083520	ENSG00000083520.15	DIS3	DIS3	HGNC:20604
ENSG00000212710	ENSG00000212710.5	CTAGE1	CTAGE1	HGNC:24346
ENSG00000134489	ENSG00000134489.7	HRH4	HRH4	HGNC:17383
ENSG00000284796	ENSG00000284796.3	DCAF11	DCAF11	HGNC:20258
ENSG00000141639	ENSG00000141639.12	MAPK4	MAPK4	HGNC:6878
ENSG00000141622	ENSG00000141622.14	ARK2C	ARK2C	HGNC:31696
ENSG00000281459	ENSG00000281459.3	PADI1	PADI1	HGNC:18367
ENSG00000177511	ENSG00000177511.6	ST8SIA3	ST8SIA3	HGNC:14269
ENSG00000176641	ENSG00000176641.11	RNF152	RNF152	HGNC:26811
ENSG00000166510	ENSG00000166510.14	CCDC68	CCDC68	HGNC:24350
ENSG00000280549	ENSG00000280549.1	PADI3	PADI3	HGNC:18337
ENSG00000184564	ENSG00000184564.11	SLITRK6	SLITRK6	HGNC:23503
ENSG00000132950	ENSG00000132950.19	ZMYM5	ZMYM5	HGNC:13029
ENSG00000280908	ENSG00000280908.2	PADI4	PADI4	HGNC:18368
ENSG00000175387	ENSG00000175387.16	SMAD2	SMAD2	HGNC:6768
ENSG00000182968	ENSG00000182968.5	SOX1	SOX1	HGNC:11189
ENSG00000041515	ENSG00000041515.16	MYO16	MYO16	HGNC:29822
ENSG00000281877	ENSG00000281877.3	RPS6KA1	RPS6KA1	HGNC:10430
ENSG00000281540	ENSG00000281540.3	RCC2	RCC2	HGNC:30297
ENSG00000185950	ENSG00000185950.9	IRS2	IRS2	HGNC:6126
ENSG00000153498	ENSG00000153498.12	SPACA7	SPACA7	HGNC:29575
ENSG00000041353	ENSG00000041353.10	RAB27B	RAB27B	HGNC:9767
ENSG00000133115	ENSG00000133115.12	STOML3	STOML3	HGNC:19420
ENSG00000091164	ENSG00000091164.13	TXNL1	TXNL1	HGNC:12436
ENSG00000088448	ENSG00000088448.14	ANKRD10	ANKRD10	HGNC:20265
ENSG00000285321	ENSG00000285321.1	FITM1	FITM1	HGNC:33714
ENSG00000284916	ENSG00000284916.2	PSME1	PSME1	HGNC:9568
ENSG00000204442	ENSG00000204442.4	NALF1	NALF1	HGNC:33877
ENSG00000175198	ENSG00000175198.17	PCCA	PCCA	HGNC:8653
ENSG00000134030	ENSG00000134030.14	CTIF	CTIF	HGNC:23925
ENSG00000141441	ENSG00000141441.16	GAREM1	GAREM1	HGNC:26136
ENSG00000184828	ENSG00000184828.10	ZBTB7C	ZBTB7C	HGNC:31700
ENSG00000126216	ENSG00000126216.15	TUBGCP3	TUBGCP3	HGNC:18598
ENSG00000285377	ENSG00000285377.2	EMC9	EMC9	HGNC:20273
ENSG00000284889	ENSG00000284889.2	PSME2	PSME2	HGNC:9569
ENSG00000228075	ENSG00000228075.5	BOD1L2	BOD1L2	HGNC:28505
ENSG00000141665	ENSG00000141665.13	FBXO15	FBXO15	HGNC:13617
ENSG00000152193	ENSG00000152193.8	OBI1	OBI1	HGNC:20308
ENSG00000081138	ENSG00000081138.14	CDH7	CDH7	HGNC:1766
ENSG00000122042	ENSG00000122042.10	UBL3	UBL3	HGNC:12504
ENSG00000102539	ENSG00000102539.5	MLNR	MLNR	HGNC:4495
ENSG00000122025	ENSG00000122025.15	FLT3	FLT3	HGNC:3765
ENSG00000241837	ENSG00000241837.7	ATP5PO	ATP5PO	HGNC:850
ENSG00000134779	ENSG00000134779.15	TPGS2	TPGS2	HGNC:24561
ENSG00000179813	ENSG00000179813.7	FAM216B	FAM216B	HGNC:26883
ENSG00000154645	ENSG00000154645.14	CHODL	CHODL	HGNC:17807
ENSG00000156273	ENSG00000156273.16	BACH1	BACH1	HGNC:935
ENSG00000285152	ENSG00000285152.2	RNF31	RNF31	HGNC:16031
ENSG00000136156	ENSG00000136156.15	ITM2B	ITM2B	HGNC:6174
ENSG00000166603	ENSG00000166603.5	MC4R	MC4R	HGNC:6932
ENSG00000166479	ENSG00000166479.10	TMX3	TMX3	HGNC:24718
ENSG00000204977	ENSG00000204977.10	TRIM13	TRIM13	HGNC:9976
ENSG00000157557	ENSG00000157557.13	ETS2	ETS2	HGNC:3489
ENSG00000198553	ENSG00000198553.9	KCNRG	KCNRG	HGNC:18893
ENSG00000150510	ENSG00000150510.17	FAM124A	FAM124A	HGNC:26413
ENSG00000101542	ENSG00000101542.10	CDH20	CDH20	HGNC:1760
ENSG00000189167	ENSG00000189167.12	ZAR1L	ZAR1L	HGNC:37116
ENSG00000139597	ENSG00000139597.18	N4BP2L1	N4BP2L1	HGNC:25037
ENSG00000175354	ENSG00000175354.20	PTPN2	PTPN2	HGNC:9650
ENSG00000157551	ENSG00000157551.19	KCNJ15	KCNJ15	HGNC:6261
ENSG00000180138	ENSG00000180138.7	CSNK1A1L	CSNK1A1L	HGNC:20289
ENSG00000133111	ENSG00000133111.4	RFXAP	RFXAP	HGNC:9988
ENSG00000133107	ENSG00000133107.15	TRPC4	TRPC4	HGNC:12336
ENSG00000285048	ENSG00000285048.2	IRF9	IRF9	HGNC:6131
ENSG00000205758	ENSG00000205758.12	CRYZL1	CRYZL1	HGNC:2420
ENSG00000081913	ENSG00000081913.14	PHLPP1	PHLPP1	HGNC:20610
ENSG00000071991	ENSG00000071991.9	CDH19	CDH19	HGNC:1758
ENSG00000285007	ENSG00000285007.2	REC8	REC8	HGNC:16879
ENSG00000291488	ENSG00000291488.1	ITGA9	ITGA9	HGNC:6145
ENSG00000141428	ENSG00000141428.17	C18orf21	C18orf21	HGNC:28802
ENSG00000080618	ENSG00000080618.17	CPB2	CPB2	HGNC:2300
ENSG00000156239	ENSG00000156239.12	N6AMT1	N6AMT1	HGNC:16021
ENSG00000134504	ENSG00000134504.14	KCTD1	KCTD1	HGNC:18249
ENSG00000136167	ENSG00000136167.15	LCP1	LCP1	HGNC:6528
ENSG00000288411	ENSG00000288411.1	SAA1	SAA1	HGNC:10513
ENSG00000285248	ENSG00000285248.2	IPO4	IPO4	HGNC:19426
ENSG00000141424	ENSG00000141424.13	SLC39A6	SLC39A6	HGNC:18607
ENSG00000154736	ENSG00000154736.6	ADAMTS5	ADAMTS5	HGNC:221
ENSG00000288445	ENSG00000288445.2	HPS5	HPS5	HGNC:17022
ENSG00000198081	ENSG00000198081.11	ZBTB14	ZBTB14	HGNC:12860
ENSG00000215475	ENSG00000215475.5	SIAH3	SIAH3	HGNC:30553
ENSG00000102452	ENSG00000102452.18	NALCN	NALCN	HGNC:19082
ENSG00000166573	ENSG00000166573.6	GALR1	GALR1	HGNC:4132
ENSG00000157617	ENSG00000157617.17	C2CD2	C2CD2	HGNC:1266
ENSG00000198795	ENSG00000198795.11	ZNF521	ZNF521	HGNC:24605
ENSG00000171873	ENSG00000171873.8	ADRA1D	ADRA1D	HGNC:280
ENSG00000154059	ENSG00000154059.11	IMPACT	IMPACT	HGNC:20387
ENSG00000101282	ENSG00000101282.9	RSPO4	RSPO4	HGNC:16175
ENSG00000125903	ENSG00000125903.4	DEFB129	DEFB129	HGNC:16218
ENSG00000101280	ENSG00000101280.8	ANGPT4	ANGPT4	HGNC:487
ENSG00000173276	ENSG00000173276.14	ZBTB21	ZBTB21	HGNC:13083
ENSG00000288114	ENSG00000288114.1	GTF2H1	GTF2H1	HGNC:4655
ENSG00000171984	ENSG00000171984.15	SHLD1	SHLD1	HGNC:26318
ENSG00000141668	ENSG00000141668.10	CBLN2	CBLN2	HGNC:1544
ENSG00000151287	ENSG00000151287.17	TEX30	TEX30	HGNC:25188
ENSG00000149346	ENSG00000149346.15	SLX4IP	SLX4IP	HGNC:16225
ENSG00000159228	ENSG00000159228.13	CBR1	CBR1	HGNC:1548
ENSG00000178591	ENSG00000178591.7	DEFB125	DEFB125	HGNC:18105
ENSG00000125845	ENSG00000125845.7	BMP2	BMP2	HGNC:1069
ENSG00000159231	ENSG00000159231.6	CBR3	CBR3	HGNC:1549
ENSG00000285070	ENSG00000285070.2	ADIPOR2	ADIPOR2	HGNC:24041
ENSG00000125898	ENSG00000125898.13	FAM110A	FAM110A	HGNC:16188
ENSG00000197971	ENSG00000197971.16	MBP	MBP	HGNC:6925
ENSG00000166979	ENSG00000166979.13	EVA1C	EVA1C	HGNC:13239
ENSG00000134897	ENSG00000134897.14	BIVM	BIVM	HGNC:16034
ENSG00000173404	ENSG00000173404.5	INSM1	INSM1	HGNC:6090
ENSG00000185982	ENSG00000185982.7	DEFB128	DEFB128	HGNC:18106
ENSG00000284953	ENSG00000284953.2	CACNA2D4	CACNA2D4	HGNC:20202
ENSG00000125788	ENSG00000125788.6	DEFB126	DEFB126	HGNC:15900
ENSG00000132640	ENSG00000132640.15	BTBD3	BTBD3	HGNC:15854
ENSG00000288299	ENSG00000288299.1	LDHA	LDHA	HGNC:6535
ENSG00000183087	ENSG00000183087.15	GAS6	GAS6	HGNC:4168
ENSG00000136159	ENSG00000136159.4	NUDT15	NUDT15	HGNC:23063
