Gene stable ID	Gene stable ID version	Gene name	HGNC symbol	HGNC ID
ENSG00000186393	ENSG00000186393.6	KRT26	KRT26	HGNC:30840
ENSG00000150995	ENSG00000150995.21	ITPR1	ITPR1	HGNC:6180
ENSG00000086062	ENSG00000086062.14	B4GALT1	B4GALT1	HGNC:924
ENSG00000261236	ENSG00000261236.8	BOP1	BOP1	HGNC:15519
ENSG00000130309	ENSG00000130309.12	COLGALT1	COLGALT1	HGNC:26182
ENSG00000115526	ENSG00000115526.11	CHST10	CHST10	HGNC:19650
ENSG00000127081	ENSG00000127081.15	ZNF484	ZNF484	HGNC:23385
ENSG00000069493	ENSG00000069493.15	CLEC2D	CLEC2D	HGNC:14351
ENSG00000103591	ENSG00000103591.13	AAGAB	AAGAB	HGNC:25662
ENSG00000176978	ENSG00000176978.16	DPP7	DPP7	HGNC:14892
ENSG00000160613	ENSG00000160613.15	PCSK7	PCSK7	HGNC:8748
ENSG00000125650	ENSG00000125650.5	PSPN	PSPN	HGNC:9579
ENSG00000239697	ENSG00000239697.12	TNFSF12	TNFSF12	HGNC:11927
ENSG00000088247	ENSG00000088247.19	KHSRP	KHSRP	HGNC:6316
ENSG00000105520	ENSG00000105520.11	PLPPR2	PLPPR2	HGNC:29566
ENSG00000108828	ENSG00000108828.16	VAT1	VAT1	HGNC:16919
ENSG00000127824	ENSG00000127824.15	TUBA4A	TUBA4A	HGNC:12407
ENSG00000104067	ENSG00000104067.17	TJP1	TJP1	HGNC:11827
ENSG00000179144	ENSG00000179144.5	GIMAP7	GIMAP7	HGNC:22404
ENSG00000165030	ENSG00000165030.5	NFIL3	NFIL3	HGNC:7787
ENSG00000110848	ENSG00000110848.8	CD69	CD69	HGNC:1694
ENSG00000185803	ENSG00000185803.12	SLC52A2	SLC52A2	HGNC:30224
ENSG00000112159	ENSG00000112159.13	MDN1	MDN1	HGNC:18302
ENSG00000133574	ENSG00000133574.10	GIMAP4	GIMAP4	HGNC:21872
ENSG00000120235	ENSG00000120235.5	IFNA6	IFNA6	HGNC:5427
ENSG00000236637	ENSG00000236637.5	IFNA4	IFNA4	HGNC:5425
ENSG00000181019	ENSG00000181019.13	NQO1	NQO1	HGNC:2874
ENSG00000214042	ENSG00000214042.1	IFNA7	IFNA7	HGNC:5428
ENSG00000186803	ENSG00000186803.3	IFNA10	IFNA10	HGNC:5418
ENSG00000188554	ENSG00000188554.15	NBR1	NBR1	HGNC:6746
ENSG00000147885	ENSG00000147885.4	IFNA16	IFNA16	HGNC:5421
ENSG00000198642	ENSG00000198642.8	KLHL9	KLHL9	HGNC:18732
ENSG00000135924	ENSG00000135924.17	DNAJB2	DNAJB2	HGNC:5228
ENSG00000133561	ENSG00000133561.15	GIMAP6	GIMAP6	HGNC:21918
ENSG00000165092	ENSG00000165092.13	ALDH1A1	ALDH1A1	HGNC:402
ENSG00000150045	ENSG00000150045.12	KLRF1	KLRF1	HGNC:13342
ENSG00000106565	ENSG00000106565.19	TMEM176B	TMEM176B	HGNC:29596
ENSG00000130726	ENSG00000130726.12	TRIM28	TRIM28	HGNC:16384
ENSG00000171428	ENSG00000171428.15	NAT1	NAT1	HGNC:7645
ENSG00000165923	ENSG00000165923.17	AGBL2	AGBL2	HGNC:26296
ENSG00000110852	ENSG00000110852.5	CLEC2B	CLEC2B	HGNC:2053
ENSG00000133612	ENSG00000133612.20	AGAP3	AGAP3	HGNC:16923
ENSG00000124772	ENSG00000124772.12	CPNE5	CPNE5	HGNC:2318
ENSG00000022567	ENSG00000022567.10	SLC45A4	SLC45A4	HGNC:29196
ENSG00000135046	ENSG00000135046.15	ANXA1	ANXA1	HGNC:533
ENSG00000256797	ENSG00000256797.1	KLRF2	KLRF2	HGNC:37646
ENSG00000141101	ENSG00000141101.13	NOB1	NOB1	HGNC:29540
ENSG00000188393	ENSG00000188393.9	CLEC2A	CLEC2A	HGNC:24191
ENSG00000172322	ENSG00000172322.14	CLEC12A	CLEC12A	HGNC:31713
ENSG00000138381	ENSG00000138381.10	ASNSD1	ASNSD1	HGNC:24910
ENSG00000184988	ENSG00000184988.8	TMEM106A	TMEM106A	HGNC:28288
ENSG00000095139	ENSG00000095139.15	ARCN1	ARCN1	HGNC:649
ENSG00000128694	ENSG00000128694.12	OSGEPL1	OSGEPL1	HGNC:23075
ENSG00000198835	ENSG00000198835.4	GJC2	GJC2	HGNC:17494
ENSG00000204882	ENSG00000204882.4	GPR20	GPR20	HGNC:4475
ENSG00000181873	ENSG00000181873.13	IBA57	IBA57	HGNC:27302
ENSG00000177688	ENSG00000177688.7	SUMO4	SUMO4	HGNC:21181
ENSG00000102908	ENSG00000102908.23	NFAT5	NFAT5	HGNC:7774
ENSG00000172680	ENSG00000172680.1	MOS	MOS	HGNC:7199
ENSG00000181690	ENSG00000181690.8	PLAG1	PLAG1	HGNC:9045
ENSG00000136936	ENSG00000136936.11	XPA	XPA	HGNC:12814
ENSG00000072609	ENSG00000072609.18	CHFR	CHFR	HGNC:20455
ENSG00000151687	ENSG00000151687.15	ANKAR	ANKAR	HGNC:26350
ENSG00000055208	ENSG00000055208.20	TAB2	TAB2	HGNC:17075
ENSG00000170791	ENSG00000170791.18	CHCHD7	CHCHD7	HGNC:28314
ENSG00000130725	ENSG00000130725.8	UBE2M	UBE2M	HGNC:12491
ENSG00000154370	ENSG00000154370.16	TRIM11	TRIM11	HGNC:16281
ENSG00000225190	ENSG00000225190.12	PLEKHM1	PLEKHM1	HGNC:29017
ENSG00000149196	ENSG00000149196.17	HIKESHI	HIKESHI	HGNC:26938
